0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,hh:mm:ss:ms, Sampling Interval, Block No, G-code, G80, M-code, Start, mode, x, y, z, a, b, c, spindle load, command RPM, command Feedrate, actual RPM, actual Feedrate, act   Load, Ref_upper, Ref_lower, PLCFOV, cmdFOV, cmdSOV, userASCOn, userAFCon, AdaptiveOn, TWon, C1, C2, C3, C4, A1, A1h, A1 chatter, A2, A2H, A2 chatter
57,10:15:46:480,94,20,1,0,8,0,1,3,-36.517,-6.207,0.008,19129.227,0,0,2000,50,1799,50,6.0668,0,0,155,100,100,0,1,0,0,6.0668,6.0153,50.708,50.6939,0.0151,0.0032,0,0.0193,0.0008,0
58,10:15:46:566,86,20,1,0,8,0,1,3,-36.517,-6.207,0.008,19129.227,0,0,2000,50,1799,50,6.0746,0,0,155,100,100,0,1,0,0,6.0746,6.0075,50.708,50.6939,0.0152,0.0014,49668.75,0.0194,0.002,0
59,10:15:46:666,100,20,1,0,8,0,1,3,-36.517,-6.5,0.016,0,-28097.667,0,2000,50,1799,50,6.0762,0,0,155,100,100,0,1,0,0,6.0762,6.0106,50.708,50.6908,0.0152,0.0014,49668.75,0.0194,0.002,0
60,10:15:46:762,96,20,1,0,8,0,1,3,-36.517,-6.5,0.016,0,-28097.667,0,2000,50,1799,50,6.0762,0,0,155,100,100,0,1,0,0,6.0762,5.9934,50.708,50.6892,0.015,0.0049,49668.75,0.0191,0.002,3912.5
61,10:15:46:862,100,20,1,0,8,0,1,3,-36.517,-6.5,0.016,0,-28097.667,0,2000,50,1799,50,6.07,0,0,155,100,100,0,1,0,0,6.07,6.0122,50.708,50.6877,0.015,0.0049,49668.75,0.0191,0.002,3912.5
62,10:15:46:962,100,20,1,0,8,0,1,3,-36.517,-6.5,0.016,0,-28097.667,0,2000,50,1799,50,6.0637,0,0,155,100,100,0,1,0,0,6.0637,6.0075,50.708,50.6861,0.015,0.0022,49668.75,0.0186,0.0005,3912.5
63,10:15:47: 53,91,20,1,0,8,0,1,3,-36.517,-6.5,0.016,0,-28097.667,0,2000,50,1799,50,6.0778,0,0,155,100,100,0,1,0,0,6.0778,6.0215,50.708,50.683,0.0148,0.0024,0,0.0179,0.0017,0
64,10:15:47:149,96,20,1,0,8,0,1,3,-36.517,-6.873,0.008,19129.227,19129.231,0,2000,50,1799,50,6.084,0,0,155,100,100,0,1,0,0,6.084,6.0059,50.708,50.683,0.0148,0.0024,0,0.0179,0.0017,0
65,10:15:47:249,100,20,1,0,8,0,1,3,-36.517,-6.873,0.008,19129.227,19129.231,0,2000,50,1799,50,6.0871,0,0,155,100,100,0,1,0,0,6.0871,6.0122,50.708,50.683,0.0152,0.0036,49668.75,0.0174,0.001,3912.5
66,10:15:47:349,100,20,1,0,8,0,1,3,-36.517,-6.873,0.008,19129.227,19129.231,0,2000,50,1799,50,6.0825,0,0,155,100,100,0,1,0,0,6.0825,6.009,50.708,50.6814,0.0152,0.0036,49668.75,0.0174,0.001,3912.5
